month,Piemonte,Valle d'Aosta,Lombardia,Trentino-Alto Adige,Veneto,Friuli Venezia Giulia,Liguria,Emilia-Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
1951-01-01,107868.59375,1082.86181640625,120268.7578125,6665.50146484375,122220.0859375,40021.0625,57872.2734375,191226.6875,359310.875,117013.1875,131401.484375,267544.9375,126735.3046875,68540.34375,239062.46875,346164.71875,167033.734375,272400.21875,487382.34375,463282.96875
1951-02-01,210331.4375,1621.23828125,209433.546875,14995.4521484375,192610.109375,62640.0546875,68341.5703125,333488.59375,412462.21875,152820.15625,172123.0,330761.96875,163148.828125,82640.640625,262908.5,424003.875,189836.890625,303082.46875,561647.1875,488691.5625
1951-03-01,370511.0,4405.81640625,364832.8125,39738.296875,317446.25,109849.703125,104098.03125,509655.875,552193.5,200536.8125,224422.3125,457228.03125,227423.203125,115596.640625,382178.59375,590382.3125,279601.625,452179.0,855794.125,749895.5625
1951-04-01,1029453.125,39597.1640625,971341.8125,267080.46875,776305.0,307640.34375,245713.28125,1072288.375,1061945.875,382560.3125,426008.6875,811029.0625,469999.0625,216524.84375,670798.6875,940540.125,481216.1875,698486.875,1249257.75,1155849.625
1951-05-01,1711961.5,154213.53125,1675351.5,745105.9375,1364710.5,573029.375,369538.0625,1726068.375,1701545.875,645394.125,745248.9375,1326109.625,821679.125,365803.21875,1097274.625,1572103.125,782338.5625,1111364.75,1756615.625,1736217.25
1951-06-01,2625793.5,263297.96875,2378069.75,1179215.5,1986142.375,844798.9375,567788.0,2487419.0,2402885.0,911971.875,944695.5,1686454.5,1055522.75,422275.25,1230953.75,1035072.0625,654611.625,1009970.3125,947035.75,1894691.5
1951-07-01,2696626.0,325074.8125,2598555.5,1367736.0,2165454.0,918528.25,385594.40625,2365065.5,1672878.125,562886.125,842143.3125,690240.75,846075.25,322105.375,481982.0625,829954.5,452280.65625,389369.9375,273047.71875,413058.65625
1951-08-01,2117544.0,288626.375,2106789.25,1262594.125,1522585.125,808466.625,175407.828125,933480.9375,706343.0625,243702.875,270210.03125,360555.71875,554119.8125,270553.0625,361949.875,944262.5,308173.875,437473.875,428753.5625,318060.8125
1951-09-01,1971731.25,214418.203125,1795376.875,929908.875,1486788.875,662292.75,343614.625,1983447.875,2198717.0,668698.25,735387.625,1610671.125,917599.3125,408991.40625,1253333.625,1578268.75,855924.0,1359047.875,2122955.75,975558.5625
1951-10-01,885230.0,49162.04296875,860976.8125,316103.15625,686268.0625,273412.09375,225586.40625,899740.125,1031568.8125,357108.84375,397339.78125,809833.125,423332.625,195239.59375,655084.0625,991434.8125,490168.3125,767889.8125,1412777.75,1371470.0
