month,Piemonte,Valle d'Aosta,Lombardia,Trentino-Alto Adige,Veneto,Friuli Venezia Giulia,Liguria,Emilia-Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
1951-01-01,2257814.0,201850.0,3164971.5,1635625.375,2663114.25,2217233.25,1093060.625,3187049.75,3849316.75,1311361.5,1351343.875,3204194.5,1390523.5,540498.625,2008808.25,2417385.75,1236914.375,2928463.0,3049047.25,2089677.375
1951-02-01,4062290.0,413897.125,4173665.0,2533027.0,4053471.5,3344015.5,1568439.625,3396959.5,5407901.5,1387200.5,1265583.5,3354296.0,1305141.5,523560.125,2056459.5,945905.6875,853604.8125,1725084.5,1307047.75,1915974.625
1951-03-01,2412409.0,225863.328125,2595841.5,1193242.125,2077468.5,1716927.75,1113605.25,2542262.25,3506779.0,1056189.125,1290840.25,2345669.0,1417264.0,601983.0,1961592.75,1736556.375,1426853.0,2888263.25,2053859.125,2658873.25
1951-04-01,1837551.625,175714.65625,1661263.5,852882.1875,1030611.3125,1186474.375,315180.03125,1113623.375,1551735.125,802345.8125,673650.625,1532370.0,599608.4375,154867.390625,524168.40625,697047.0625,264428.96875,463962.15625,424461.125,640141.25
1951-05-01,5280463.0,499937.5,2853648.75,907005.0,1574107.875,978247.5,993270.5625,2484341.25,2597873.0,844400.625,789010.625,1710127.5,982015.0,312362.5625,1388728.125,605721.5625,444314.4375,1240326.625,762728.5625,2211718.5
1951-06-01,2854385.75,338521.0625,2505607.5,1303438.5,1851539.375,1023986.4375,216888.96875,1079354.25,786456.75,249784.8125,247979.9375,361866.65625,364568.6875,164509.34375,194879.21875,427022.6875,210828.109375,108227.8359375,11608.6962890625,302932.59375
1951-07-01,2111180.25,163913.09375,2995136.75,1335909.25,2463361.5,1059540.25,216768.375,2053190.625,1108475.125,319649.375,693616.9375,248107.75,551172.8125,221168.96875,243625.734375,779457.5,363807.28125,200799.53125,141599.546875,44111.52734375
1951-08-01,2754424.5,448032.3125,2675508.5,1214186.75,994338.625,612959.4375,122774.3046875,470077.875,476786.65625,166927.3125,169908.4375,277784.03125,442434.875,243620.78125,333336.5625,919357.5625,289718.5,418858.25,423632.65625,278837.3125
1951-09-01,2335514.25,219669.921875,2361499.0,997579.6875,1904914.125,750850.125,446866.9375,2592384.75,3260136.0,755254.125,925412.625,2293996.5,1286562.75,488075.4375,1695173.375,1727117.25,974716.625,1875276.0,2566231.0,981783.5
1951-10-01,3974107.0,224304.46875,2378051.25,507260.65625,1394187.625,316481.59375,815530.625,3160161.0,1902606.5,622215.625,1725599.75,1586599.25,1200796.125,383431.8125,956234.375,2584731.25,976914.75,6152243.5,8786463.0,8923217.0
1951-11-01,9462146.0,810532.25,7151723.0,3110965.0,4183728.0,3471407.75,2828329.0,3167831.5,4325576.5,1470371.5,1200718.75,2895147.5,1326049.0,657093.125,2687645.5,1258639.125,962964.0625,1842469.75,1962784.375,1553224.25
